Video ID,YouTube Link,Language(s),Category,Notes
Y9O6p832AUY,https://www.youtube.com/watch?v=Y9O6p832AUY,Korean,Debate,
uvc3Y3kIWU0,https://www.youtube.com/watch?v=uvc3Y3kIWU0,Korean,Debate,
2lmv6ZDm0vw,https://www.youtube.com/watch?v=2lmv6ZDm0vw,English,Debate,"debate,verbal(eng)"
6PFc9Pogz94,https://www.youtube.com/watch?v=6PFc9Pogz94,English,Debate,
Lq0iua0r0KQ,https://www.youtube.com/watch?v=Lq0iua0r0KQ,English,Debate,
wqjHz9laqgU,https://www.youtube.com/watch?v=wqjHz9laqgU,English,Debate,
W3Egu8zU79s,https://www.youtube.com/watch?v=W3Egu8zU79s,English,Debate,
uJ7-HHkRTsk,https://www.youtube.com/watch?v=uJ7-HHkRTsk,English,Debate,
6aBXrc9CGXA,https://www.youtube.com/watch?v=6aBXrc9CGXA,English,Debate,
3fzrroJKQGo,https://www.youtube.com/watch?v=3fzrroJKQGo,English,Debate,
D3KH0GMZxzQ,https://www.youtube.com/watch?v=D3KH0GMZxzQ,English,Debate,
3fWOE_LL0RE,https://www.youtube.com/watch?v=3fWOE_LL0RE,"Korean,English",Debate,"학생 토론(kor,eng)"
R3zWhvEkxSY,https://www.youtube.com/watch?v=R3zWhvEkxSY,Korean,Debate,"한국 청소년 토론,verbal(kor)"
sjvs33_DFEk,https://www.youtube.com/watch?v=sjvs33_DFEk,Korean,Debate,
tFZ2MwtpigE,https://www.youtube.com/watch?v=tFZ2MwtpigE,Korean,Debate,
GTMRbKUTz7w,https://www.youtube.com/watch?v=GTMRbKUTz7w,Korean,Debate,
Q7yvvq-9ytE,https://www.youtube.com/watch?v=Q7yvvq-9ytE,English,Debate,"Jubilee(debate),verbal(eng)"
z5TGgJF7LIo,https://www.youtube.com/watch?v=z5TGgJF7LIo,English,TV Program,"Jubilee,verbal(eng)"
l2fNZm8u7KM,https://www.youtube.com/watch?v=l2fNZm8u7KM,English,TV Program,
ri8RSiuXD9I,https://www.youtube.com/watch?v=ri8RSiuXD9I,English,TV Program,
oLE-KBoIKA8,https://www.youtube.com/watch?v=oLE-KBoIKA8,English,TV Program,
A-YcBYUfgtc,https://www.youtube.com/watch?v=A-YcBYUfgtc,English,TV Program,
v8bPdC5YXnA,https://www.youtube.com/watch?v=v8bPdC5YXnA,English,TV Program,
TrbtTJY885k,https://www.youtube.com/watch?v=TrbtTJY885k,English,TV Program,
WpnV2EFJK4w,https://www.youtube.com/watch?v=WpnV2EFJK4w,Korean,Sports,"배구volleyball,verbal(kor)"
uW2RBKh1HME,https://www.youtube.com/watch?v=uW2RBKh1HME,Korean,Sports,
TD17H6Hob3k,https://www.youtube.com/watch?v=TD17H6Hob3k,Korean,Sports,
SXs3GMXXN_M,https://www.youtube.com/watch?v=SXs3GMXXN_M,Korean,Sports,
qfgI3FyOHf8,https://www.youtube.com/watch?v=qfgI3FyOHf8,Korean,Sports,
kW_z-NMuZIU,https://www.youtube.com/watch?v=kW_z-NMuZIU,Korean,Sports,soccer(kor)
FBynfiRGdlc,https://www.youtube.com/watch?v=FBynfiRGdlc,Korean,Sports,
oYgGq1Y-kkQ,https://www.youtube.com/watch?v=oYgGq1Y-kkQ,Korean,Sports,
Ypu2JqiIidc,https://www.youtube.com/watch?v=Ypu2JqiIidc,Korean,Sports,
uw_X4usDCWE,https://www.youtube.com/watch?v=uw_X4usDCWE,Korean,Sports,
bXcdgiktLSQ,https://www.youtube.com/watch?v=bXcdgiktLSQ,Korean,Sports,baseball(kor)
m68evsBkmqs,https://www.youtube.com/watch?v=m68evsBkmqs,Korean,Sports,
t0E10xMwUj8,https://www.youtube.com/watch?v=t0E10xMwUj8,Korean,Sports,
mdxY9Df_QPQ,https://www.youtube.com/watch?v=mdxY9Df_QPQ,Korean,Sports,
9zwKo8xg-l0,https://www.youtube.com/watch?v=9zwKo8xg-l0,Korean,Sports,
cuLprHh_BRg,https://www.youtube.com/watch?v=cuLprHh_BRg,English,Sports,basketball(eng)
RMti3Ly-ai0,https://www.youtube.com/watch?v=RMti3Ly-ai0,English,Sports,
QGuYep0cSAY,https://www.youtube.com/watch?v=QGuYep0cSAY,English,Sports,
1fjhIWJSxfw,https://www.youtube.com/watch?v=1fjhIWJSxfw,English,Sports,
RDBaDqrWBEI,https://www.youtube.com/watch?v=RDBaDqrWBEI,English,Sports,
yeiHIb9C7PM,https://www.youtube.com/watch?v=yeiHIb9C7PM,English,Sports,
8835heTiSAk,https://www.youtube.com/watch?v=8835heTiSAk,English,Sports,
NjBZfgT-Uic,https://www.youtube.com/watch?v=NjBZfgT-Uic,English,Documentary,"national geographic(verbal,eng)"
NP4RrJCYFGs,https://www.youtube.com/watch?v=NP4RrJCYFGs,English,Documentary,
PFRcEXIpBe0,https://www.youtube.com/watch?v=PFRcEXIpBe0,English,Documentary,
LdW3jRm4B6s,https://www.youtube.com/watch?v=LdW3jRm4B6s,English,Documentary,
eZ2Rt2DVGdU,https://www.youtube.com/watch?v=eZ2Rt2DVGdU,English,Documentary,
5KsV53mwhI0,https://www.youtube.com/watch?v=5KsV53mwhI0,English,Documentary,
hs4uestGgoU,https://www.youtube.com/watch?v=hs4uestGgoU,Korean,Documentary,"한국 다큐(Verbal,kor)"
Ha0WC_qgh-o,https://www.youtube.com/watch?v=Ha0WC_qgh-o,Korean,Documentary,
WbulGog4Akw,https://www.youtube.com/watch?v=WbulGog4Akw,Korean,Documentary,
#NAME?,https://www.youtube.com/watch?v=-n2dGhRDziI,Korean,Documentary,
8X4pDCrFYZ8,https://www.youtube.com/watch?v=8X4pDCrFYZ8,Korean,Documentary,
2iKjcfiBUmw,https://www.youtube.com/watch?v=2iKjcfiBUmw,Korean,Documentary,
R8BXubXr5qQ,https://www.youtube.com/watch?v=R8BXubXr5qQ,"Korean,English",News,"BBC Korea(eng,kor)"
J1FNN34HCsQ,https://www.youtube.com/watch?v=J1FNN34HCsQ,"Korean,English",News,
FAbMP0m57tM,https://www.youtube.com/watch?v=FAbMP0m57tM,"Korean,English",News,
4aN7Rk_oSOY,https://www.youtube.com/watch?v=4aN7Rk_oSOY,Korean,News,kor
54YqI1zhrdU,https://www.youtube.com/watch?v=54YqI1zhrdU,Korean,News,
uDY33T6V9JU,https://www.youtube.com/watch?v=uDY33T6V9JU,Korean,News,
3qhys0OKsiw,https://www.youtube.com/watch?v=3qhys0OKsiw,Korean,News,
yGEmpOaUmYw,https://www.youtube.com/watch?v=yGEmpOaUmYw,Korean,News,
TN1Y4dmRw6k,https://www.youtube.com/watch?v=TN1Y4dmRw6k,English,Interview,"bbc korea interview,eng"
E2tTE3UQnx4,https://www.youtube.com/watch?v=E2tTE3UQnx4,English,Interview,interview(eng)
wXcSQppLUPg,https://www.youtube.com/watch?v=wXcSQppLUPg,English,Interview,
0DOMlNJ9sOk,https://www.youtube.com/watch?v=0DOMlNJ9sOk,English,Interview,
f3dN9ypiFLY,https://www.youtube.com/watch?v=f3dN9ypiFLY,English,Interview,
l5XqkcA0OFQ,https://www.youtube.com/watch?v=l5XqkcA0OFQ,English,Interview,
W20P0yYbBEM,https://www.youtube.com/watch?v=W20P0yYbBEM,Korean,Interview,interview(kor)
2sPIeQCaiTQ,https://www.youtube.com/watch?v=2sPIeQCaiTQ,Korean,Interview,
wJZJ18hGp0M,https://www.youtube.com/watch?v=wJZJ18hGp0M,Korean,Interview,
Oj7hWcx-7bo,https://www.youtube.com/watch?v=Oj7hWcx-7bo,Korean,Interview,tv에서 인터뷰
3jch1DnKaIY,https://www.youtube.com/watch?v=3jch1DnKaIY,Korean,Interview,
0kqIfBZDfBQ,https://www.youtube.com/watch?v=0kqIfBZDfBQ,Korean,Educational,experiment(kor)
lBEYih0jHf0,https://www.youtube.com/watch?v=lBEYih0jHf0,Korean,Educational,
pfJ9m9EuGQ4,https://www.youtube.com/watch?v=pfJ9m9EuGQ4,Korean,Educational,
jq9s1hYObWc,https://www.youtube.com/watch?v=jq9s1hYObWc,Korean,Educational,
8a5O9axxhVE,https://www.youtube.com/watch?v=8a5O9axxhVE,Korean,Educational,
f8YRKH5beMw,https://www.youtube.com/watch?v=f8YRKH5beMw,Korean,Educational,
Iepp4PS6a6o,https://www.youtube.com/watch?v=Iepp4PS6a6o,Korean,Educational,
cGoT9NGtHE0,https://www.youtube.com/watch?v=cGoT9NGtHE0,Korean,Educational,
NBNKZMsBygo,https://www.youtube.com/watch?v=NBNKZMsBygo,Korean,Educational,
ekUbBot8tDA,https://www.youtube.com/watch?v=ekUbBot8tDA,English,Educational,experiment(eng)
s9ALylTC9YQ,https://www.youtube.com/watch?v=s9ALylTC9YQ,English,Educational,
EomJuxTeRm4,https://www.youtube.com/watch?v=EomJuxTeRm4,English,Educational,
oUIk1KLFXOY,https://www.youtube.com/watch?v=oUIk1KLFXOY,English,Educational,
icia1tUSoMU,https://www.youtube.com/watch?v=icia1tUSoMU,English,Educational,
_ZizKQqHNgI,https://www.youtube.com/watch?v=_ZizKQqHNgI,Non-Verbal,Educational,experiment(non verbal)
NCjf6og4qHk,https://www.youtube.com/watch?v=NCjf6og4qHk,Non-Verbal,Educational,
TZA5ajIjxFk,https://www.youtube.com/watch?v=TZA5ajIjxFk,Korean,Tutorial,dance tutorial(kor)
mcx9pDQZ1qA,https://www.youtube.com/watch?v=mcx9pDQZ1qA,Korean,Tutorial,
3hgMhJiABH4,https://www.youtube.com/watch?v=3hgMhJiABH4,Korean,Tutorial,
E4rzIk7FEpU,https://www.youtube.com/watch?v=E4rzIk7FEpU,Korean,Tutorial,
_Ols2s0T7NQ,https://www.youtube.com/watch?v=_Ols2s0T7NQ,Korean,Tutorial,
dYih6oRiU2s,https://www.youtube.com/watch?v=dYih6oRiU2s,Korean,Tutorial,vertical
qSNCmhTUpBQ,https://www.youtube.com/watch?v=qSNCmhTUpBQ,Korean,Tutorial,vertical
gPaK6AhK9HY,https://www.youtube.com/watch?v=gPaK6AhK9HY,Korean,Tutorial,verical
rJQd2LZ3xqw,https://www.youtube.com/watch?v=rJQd2LZ3xqw,Korean,Tutorial,vertical
_P7KvoOl9OM,https://www.youtube.com/watch?v=_P7KvoOl9OM,Korean,Tutorial,vertical
EtjRy2DmgAY,https://www.youtube.com/watch?v=EtjRy2DmgAY,Korean,Tutorial,vertical
hoBStLl5--0,https://www.youtube.com/watch?v=hoBStLl5--0,Korean,Tutorial,vertical
BxOBhZBLOio,https://www.youtube.com/watch?v=BxOBhZBLOio,English,Tutorial,dance tutorial(eng)
5AgpJa54xEw,https://www.youtube.com/watch?v=5AgpJa54xEw,English,Tutorial,
DBGoSFIv__4,https://www.youtube.com/watch?v=DBGoSFIv__4,English,Tutorial,
Gw_3dGCARGY,https://www.youtube.com/watch?v=Gw_3dGCARGY,English,Tutorial,
oPAels54f2w,https://www.youtube.com/watch?v=oPAels54f2w,English,Tutorial,
G0MDTgp_YEE,https://www.youtube.com/watch?v=G0MDTgp_YEE,English,Tutorial,
uE4xBwZChn8,https://www.youtube.com/watch?v=uE4xBwZChn8,Korean,Cooking,"육식맨(요리),kor"
4iwfrix4oxM,https://www.youtube.com/watch?v=4iwfrix4oxM,Korean,Cooking,
T7z5_6WvGFs,https://www.youtube.com/watch?v=T7z5_6WvGFs,Korean,Cooking,
6XvCJzNhBeo,https://www.youtube.com/watch?v=6XvCJzNhBeo,Korean,Cooking,
DsAfQKFHWVA,https://www.youtube.com/watch?v=DsAfQKFHWVA,Korean,Cooking,
bHBYER2sUWk,https://www.youtube.com/watch?v=bHBYER2sUWk,Korean,Cooking,
5Pjndn3XFfY,https://www.youtube.com/watch?v=5Pjndn3XFfY,Korean,Cooking,"이상한과자가게(요리),kor"
Y2AObgDI4mQ,https://www.youtube.com/watch?v=Y2AObgDI4mQ,Korean,Cooking,
JyPG7fHD8eU,https://www.youtube.com/watch?v=JyPG7fHD8eU,Korean,Cooking,
D6u_JaM5FLY,https://www.youtube.com/watch?v=D6u_JaM5FLY,Korean,Cooking,
VuuO3KyGqOg,https://www.youtube.com/watch?v=VuuO3KyGqOg,Korean,Cooking,
Th84afHZ8XA,https://www.youtube.com/watch?v=Th84afHZ8XA,Korean,Cooking,"먹어볼래(요리),kor"
0QjL4miyDVw,https://www.youtube.com/watch?v=0QjL4miyDVw,Korean,Cooking,
lvdR02UQJ0s,https://www.youtube.com/watch?v=lvdR02UQJ0s,Korean,Cooking,
SF5DIkzuqCc,https://www.youtube.com/watch?v=SF5DIkzuqCc,Korean,Cooking,
sLXwGJz9zuo,https://www.youtube.com/watch?v=sLXwGJz9zuo,Korean,Cooking,
h1nh8BXhpyw,https://www.youtube.com/watch?v=h1nh8BXhpyw,Korean,Cooking,안성재(요리)kor
_ruZ62T-l_Y,https://www.youtube.com/watch?v=_ruZ62T-l_Y,Korean,Cooking,
v1_dATSi8rA,https://www.youtube.com/watch?v=v1_dATSi8rA,Korean,Cooking,
DHz94CXlMZM,https://www.youtube.com/watch?v=DHz94CXlMZM,Korean,Cooking,
XfUjjf4DBM8,https://www.youtube.com/watch?v=XfUjjf4DBM8,Korean,Cooking,"은수저(요리),kor"
b1vKScd8Z0Q,https://www.youtube.com/watch?v=b1vKScd8Z0Q,Korean,Cooking,vertical
fwE-Tjzgkw4,https://www.youtube.com/watch?v=fwE-Tjzgkw4,Korean,Cooking,
w4DH7x4HPm4,https://www.youtube.com/watch?v=w4DH7x4HPm4,Korean,TV Program,냉부해(요리)kor
9BQbKOuU7gk,https://www.youtube.com/watch?v=9BQbKOuU7gk,Korean,TV Program,
1C5j3nnfBow,https://www.youtube.com/watch?v=1C5j3nnfBow,Korean,TV Program,
9LQsLPsKRq8,https://www.youtube.com/watch?v=9LQsLPsKRq8,Korean,Debate,"침착맨,kor"
LOuy_4lrauM,https://www.youtube.com/watch?v=LOuy_4lrauM,Korean,TV Program,
Uepu0fO--9E,https://www.youtube.com/watch?v=Uepu0fO--9E,Korean,TV Program,
SP-LJqVgQuw,https://www.youtube.com/watch?v=SP-LJqVgQuw,Korean,TV Program,
T3chPJuPPic,https://www.youtube.com/watch?v=T3chPJuPPic,Korean,Lecture,
#NAME?,https://www.youtube.com/watch?v=-xICFR9I6Ls,Korean,Mukbang,
94KXW2CRC4g,https://www.youtube.com/watch?v=94KXW2CRC4g,Korean,Mukbang,돼끼(먹방)
#NAME?,https://www.youtube.com/watch?v=-SlONoUKzuY,Korean,Mukbang,
geincy85zbQ,https://www.youtube.com/watch?v=geincy85zbQ,Korean,Mukbang,
wMpKcdHsw34,https://www.youtube.com/watch?v=wMpKcdHsw34,Korean,Mukbang,허챠밍(먹방)
OrYPrHiuEhM,https://www.youtube.com/watch?v=OrYPrHiuEhM,Korean,Mukbang,
UwlnmUibrwU,https://www.youtube.com/watch?v=UwlnmUibrwU,Korean,Mukbang,
Mj6kdti0AnM,https://www.youtube.com/watch?v=Mj6kdti0AnM,Korean,Mukbang,떵개(먹방)
W7AV5Inc5l0,https://www.youtube.com/watch?v=W7AV5Inc5l0,Korean,Mukbang,
N-XrQFKuw3I,https://www.youtube.com/watch?v=N-XrQFKuw3I,Korean,Mukbang,
CJaJpc_vq0s,https://www.youtube.com/watch?v=CJaJpc_vq0s,Korean,Mukbang,
IMvN0Z_sdE8,https://www.youtube.com/watch?v=IMvN0Z_sdE8,Korean,Mukbang,입짧은햇님(먹방)
LO3DgzeoUCo,https://www.youtube.com/watch?v=LO3DgzeoUCo,Korean,Mukbang,
ic33KKZwTN4,https://www.youtube.com/watch?v=ic33KKZwTN4,Korean,Mukbang,
qAV2rDzQeFA,https://www.youtube.com/watch?v=qAV2rDzQeFA,Korean,Mukbang,
aFfU4lAaXiI,https://www.youtube.com/watch?v=aFfU4lAaXiI,Korean,Mukbang,아이돌 셔누 먹방
1YgW0asbV3A,https://www.youtube.com/watch?v=1YgW0asbV3A,Korean,Mukbang,
bv_90jGxeZU,https://www.youtube.com/watch?v=bv_90jGxeZU,Korean,Mukbang,
R32YDNkY9QA,https://www.youtube.com/watch?v=R32YDNkY9QA,Korean,Mukbang,
ONosYVWpSNo,https://www.youtube.com/watch?v=ONosYVWpSNo,Korean,Mukbang,
N7SKGuFPSGo,https://www.youtube.com/watch?v=N7SKGuFPSGo,Korean,Mukbang,아이돌 유나 먹방
K8iuO6oB1ic,https://www.youtube.com/watch?v=K8iuO6oB1ic,Korean,Mukbang,유튜버 나도(먹방)
ygE2quS7NHs,https://www.youtube.com/watch?v=ygE2quS7NHs,Korean,Mukbang,
ZO7I-fdB3to,https://www.youtube.com/watch?v=ZO7I-fdB3to,Korean,Mukbang,
_fV1TjCR-do,https://www.youtube.com/watch?v=_fV1TjCR-do,Korean,Mukbang,
SdXSityvHYg,https://www.youtube.com/watch?v=SdXSityvHYg,Korean,Mukbang,
KKWNnKhGjWA,https://www.youtube.com/watch?v=KKWNnKhGjWA,English,Mukbang,영국남자(eng)
eMygau1Yy_0,https://www.youtube.com/watch?v=eMygau1Yy_0,English,Mukbang,
CKlXdPx26SY,https://www.youtube.com/watch?v=CKlXdPx26SY,"Korean,English",Mukbang,"eng,kor"
0Pu--Gf98xY,https://www.youtube.com/watch?v=0Pu--Gf98xY,English,Mukbang,
_R69jJo3ziQ,https://www.youtube.com/watch?v=_R69jJo3ziQ,Korean,Gaming,양띵(게임)kor
o7z_XkPUX_0,https://www.youtube.com/watch?v=o7z_XkPUX_0,Korean,Gaming,
R0weo0lMAKM,https://www.youtube.com/watch?v=R0weo0lMAKM,Korean,Gaming,
MNIxLxFhMXg,https://www.youtube.com/watch?v=MNIxLxFhMXg,Korean,Gaming,
3MEBk2-Exio,https://www.youtube.com/watch?v=3MEBk2-Exio,Korean,Gaming,대도서관(게임)kor
-9apmg_rQ0k,https://www.youtube.com/watch?v=-9apmg_rQ0k,Korean,Gaming,
HAE1gmzHzVI,https://www.youtube.com/watch?v=HAE1gmzHzVI,Korean,Gaming,
5gZGNFut_K4,https://www.youtube.com/watch?v=5gZGNFut_K4,Korean,Gaming,하말넘많(게임)kor
4PfmG8H4tk4,https://www.youtube.com/watch?v=4PfmG8H4tk4,Korean,Gaming,
yrkQpTlrbAc,https://www.youtube.com/watch?v=yrkQpTlrbAc,Korean,Gaming,
0zn-lmVftaQ,https://www.youtube.com/watch?v=0zn-lmVftaQ,Korean,Gaming,
b6Sca1ITU3c,https://www.youtube.com/watch?v=b6Sca1ITU3c,Korean,Gaming,우주하마(게임)kor
NuvgRd257gI,https://www.youtube.com/watch?v=NuvgRd257gI,Korean,Gaming,
1JrL1vL6Ng4,https://www.youtube.com/watch?v=1JrL1vL6Ng4,Korean,Gaming,
KaipmGfKKys,https://www.youtube.com/watch?v=KaipmGfKKys,Korean,Gaming,
5kLZVR1RwJg,https://www.youtube.com/watch?v=5kLZVR1RwJg,Korean,Gaming,
oK8kviXdPt0,https://www.youtube.com/watch?v=oK8kviXdPt0,Korean,Gaming,
hIpCGg8C-nI,https://www.youtube.com/watch?v=hIpCGg8C-nI,Korean,Gaming,
zgp3No5gyxs,https://www.youtube.com/watch?v=zgp3No5gyxs,Korean,Vlog,"룩북(패션),kor"
b11syQcJlTs,https://www.youtube.com/watch?v=b11syQcJlTs,Korean,Vlog,
AxhPanKF1OE,https://www.youtube.com/watch?v=AxhPanKF1OE,Korean,Vlog,
IHqiK06nn4Q,https://www.youtube.com/watch?v=IHqiK06nn4Q,Korean,Vlog,
r4k_JoqoLR0,https://www.youtube.com/watch?v=r4k_JoqoLR0,Korean,Vlog,
UhjbpxQTkAE,https://www.youtube.com/watch?v=UhjbpxQTkAE,Korean,Vlog,
evOt05fd51U,https://www.youtube.com/watch?v=evOt05fd51U,Korean,Vlog,
UOvYgqxDGig,https://www.youtube.com/watch?v=UOvYgqxDGig,Korean,Vlog,
Z0vvEMvrp6I,https://www.youtube.com/watch?v=Z0vvEMvrp6I,Korean,Vlog,"쇼핑 하울,kor"
dOomqXYC2r4,https://www.youtube.com/watch?v=dOomqXYC2r4,Korean,Vlog,
BLju4JTQors,https://www.youtube.com/watch?v=BLju4JTQors,Korean,Vlog,
j4PKbbSuqGU,https://www.youtube.com/watch?v=j4PKbbSuqGU,Korean,Vlog,
VnLIRIMTFKI,https://www.youtube.com/watch?v=VnLIRIMTFKI,Korean,Vlog,
KD-eOTr1Aac,https://www.youtube.com/watch?v=KD-eOTr1Aac,Korean,Vlog,
Wbq0qD4zutk,https://www.youtube.com/watch?v=Wbq0qD4zutk,Korean,Vlog,
HEFiBtOl3BY,https://www.youtube.com/watch?v=HEFiBtOl3BY,Korean,Vlog,
l9ZYndtIh3g,https://www.youtube.com/watch?v=l9ZYndtIh3g,English,Vlog,shopping haul -eng
6WWIeGuieOk,https://www.youtube.com/watch?v=6WWIeGuieOk,English,Vlog,
YdXII9W2Y4A,https://www.youtube.com/watch?v=YdXII9W2Y4A,English,Vlog,
8gw3UpVxeDQ,https://www.youtube.com/watch?v=8gw3UpVxeDQ,Korean,Performance,"musical,kor"
_TBlmz9Dw-A,https://www.youtube.com/watch?v=_TBlmz9Dw-A,Korean,Performance,
q5ZQSQZTbqk,https://www.youtube.com/watch?v=q5ZQSQZTbqk,Korean,Performance,
yLvgzesw84E,https://www.youtube.com/watch?v=yLvgzesw84E,Korean,Performance,
ABcajO6abzY,https://www.youtube.com/watch?v=ABcajO6abzY,Korean,Performance,
lWydEfi47dg,https://www.youtube.com/watch?v=lWydEfi47dg,Korean,Performance,
o-gLbgpzCc8,https://www.youtube.com/watch?v=o-gLbgpzCc8,English,Performance,musical-eng
mdBVJbzkoqo,https://www.youtube.com/watch?v=mdBVJbzkoqo,English,Performance,
EGb4hj-EXt0,https://www.youtube.com/watch?v=EGb4hj-EXt0,English,Performance,
v1CubPmJEG0,https://www.youtube.com/watch?v=v1CubPmJEG0,Korean,Makeup,"이사배(메이크업),kor"
estQ0TPYi_Q,https://www.youtube.com/watch?v=estQ0TPYi_Q,Korean,Makeup,
YPIKdqgaRLc,https://www.youtube.com/watch?v=YPIKdqgaRLc,Korean,Makeup,
x9EF-r4LMUI,https://www.youtube.com/watch?v=x9EF-r4LMUI,Korean,Makeup,"포니(메이크업),kor"
DAu_jF-9AXs,https://www.youtube.com/watch?v=DAu_jF-9AXs,Korean,Makeup,
tRUGnDVnI60,https://www.youtube.com/watch?v=tRUGnDVnI60,Korean,Makeup,
lbDalERJ2Os,https://www.youtube.com/watch?v=lbDalERJ2Os,Korean,Makeup,
M38W2SNrRNE,https://www.youtube.com/watch?v=M38W2SNrRNE,Korean,Makeup,레오제이(메이크업)kor
H5wpsvpPniw,https://www.youtube.com/watch?v=H5wpsvpPniw,Korean,Makeup,
yzUITm6mbZ0,https://www.youtube.com/watch?v=yzUITm6mbZ0,Korean,Makeup,
pcBOcUFGCcw,https://www.youtube.com/watch?v=pcBOcUFGCcw,Korean,Makeup,
kRGYSo4fV2M,https://www.youtube.com/watch?v=kRGYSo4fV2M,Korean,Animation,"빵빵이(animation),kor"
4rXPYs_1bio,https://www.youtube.com/watch?v=4rXPYs_1bio,Korean,Animation,
juM_qadVY1E,https://www.youtube.com/watch?v=juM_qadVY1E,Korean,Animation,
CsF7fmgA7e0,https://www.youtube.com/watch?v=CsF7fmgA7e0,Korean,Animation,"나는마루(animation),kor"
XaREu9qXz7Q,https://www.youtube.com/watch?v=XaREu9qXz7Q,Korean,Animation,"총몇명(animation),kor"
ezrY1IkyCRY,https://www.youtube.com/watch?v=ezrY1IkyCRY,Korean,Animation,
Ovd2WHBAOMk,https://www.youtube.com/watch?v=Ovd2WHBAOMk,Korean,Animation,
QXC3UNftrLA,https://www.youtube.com/watch?v=QXC3UNftrLA,Korean,Animation,"둘리(animation),kor"
aW888nfTzOk,https://www.youtube.com/watch?v=aW888nfTzOk,Korean,Animation,
JZdoAA-eNhM,https://www.youtube.com/watch?v=JZdoAA-eNhM,Korean,Animation,
AYA23cYTOB0,https://www.youtube.com/watch?v=AYA23cYTOB0,English,Animation,"snoopy,eng"
WEziFKqrW6A,https://www.youtube.com/watch?v=WEziFKqrW6A,Non-Verbal,Animation,
jRTaHOf-x40,https://www.youtube.com/watch?v=jRTaHOf-x40,English,Animation,"spongebob,eng"
kkAXjk-cJ5M,https://www.youtube.com/watch?v=kkAXjk-cJ5M,English,Animation,
pCu8YHBc5qg,https://www.youtube.com/watch?v=pCu8YHBc5qg,English,Animation,
MMQlDnn59T0,https://www.youtube.com/watch?v=MMQlDnn59T0,English,Animation,
#NAME?,https://www.youtube.com/watch?v=-lyKCSh2ll4,English,Animation,"despicable me,eng"
l3YSx-tuWlM,https://www.youtube.com/watch?v=l3YSx-tuWlM,English,Animation,
Q1DNKL-EtEE,https://www.youtube.com/watch?v=Q1DNKL-EtEE,Non-Verbal,Animation,"pingu,non verbal"
YHv3R29-3qc,https://www.youtube.com/watch?v=YHv3R29-3qc,Non-Verbal,Animation,
y46hvE9JAXo,https://www.youtube.com/watch?v=y46hvE9JAXo,English,Makeup,make up (Eng)
SBX-r6ZOEgc,https://www.youtube.com/watch?v=SBX-r6ZOEgc,English,Makeup,
EA1755P-DMI,https://www.youtube.com/watch?v=EA1755P-DMI,English,Makeup,
J4-GRH2nDvw,https://www.youtube.com/watch?v=J4-GRH2nDvw,English,Makeup,
gdsUKphmB3Y,https://www.youtube.com/watch?v=gdsUKphmB3Y,English,Performance,superbowl half time show
mjrdywp5nyE,https://www.youtube.com/watch?v=mjrdywp5nyE,English,Performance,
c9cUytejf1k,https://www.youtube.com/watch?v=c9cUytejf1k,English,Performance,
pILCn6VO_RU,https://www.youtube.com/watch?v=pILCn6VO_RU,English,Performance,
ZD1QrIe--_Y,https://www.youtube.com/watch?v=ZD1QrIe--_Y,English,Performance,
9rhadTURsrw,https://www.youtube.com/watch?v=9rhadTURsrw,English,Performance,
F44wKzarRYM,https://www.youtube.com/watch?v=F44wKzarRYM,English,Performance,eurovision
StJAtnXjgek,https://www.youtube.com/watch?v=StJAtnXjgek,"Korean,English",Performance,대학축제
GctqnZN5eTE,https://www.youtube.com/watch?v=GctqnZN5eTE,"Korean,English",Performance,
CoOat1UxpBA,https://www.youtube.com/watch?v=CoOat1UxpBA,"Korean,English",Performance,
5WFPpuEDBKg,https://www.youtube.com/watch?v=5WFPpuEDBKg,"Korean,English",Performance,
_sligBghfFE,https://www.youtube.com/watch?v=_sligBghfFE,"Korean,English",Performance,
ZJmdplXY4Ro,https://www.youtube.com/watch?v=ZJmdplXY4Ro,Korean,Performance,
5UvCC1gSlp8,https://www.youtube.com/watch?v=5UvCC1gSlp8,Korean,Performance,
A8n9wf0R1xo,https://www.youtube.com/watch?v=A8n9wf0R1xo,English,Performance,fashion show(verbal)
CSNve1zdxwo,https://www.youtube.com/watch?v=CSNve1zdxwo,English,Performance,nonverbal
KjdTB0np_BQ,https://www.youtube.com/watch?v=KjdTB0np_BQ,English,Performance,
BFNNHSTE_Io,https://www.youtube.com/watch?v=BFNNHSTE_Io,Non-Verbal,Performance,
hoKDrFyQDy0,https://www.youtube.com/watch?v=hoKDrFyQDy0,Non-Verbal,Performance,
kJahgab2WKk,https://www.youtube.com/watch?v=kJahgab2WKk,Non-Verbal,Performance,
DSn84MHClY0,https://www.youtube.com/watch?v=DSn84MHClY0,Non-Verbal,Performance,
fTDtVGmJ_Jc,https://www.youtube.com/watch?v=fTDtVGmJ_Jc,Non-Verbal,Performance,
guedmbnJAZM,https://www.youtube.com/watch?v=guedmbnJAZM,Non-Verbal,Performance,
